CATEGORY,CLEANED,YEAR_ADDED,GENDER
Women marine mammalogists,women marine mammalogists,2000,W
Overweight women in art,overweight women in art,2000,W
Women dermatologists,women dermatologists,2000,W
Women librettists,women librettists,2000,W
Motion pictures and gay men,motion pictures and gay men,2000,M
Chilean American women,chilean american women,2000,W
Women transmitters of the Hadith,women transmitters of the hadith,2000,W
"Women, Fon",fon women,2000,W
Women insurance agents,women insurance agents,2000,W
Eating disorders in men,eating disorders in men,2000,M
Women personal trainers,women personal trainers,2000,W
Boxing for women,boxing for women,2000,W
Older Lakota women,older lakota women,2004,W
Lakota women,lakota women,2000,W
"Women, Creole (Sierra Leone)",creole ( sierra leone ) women,2000,W
Ashaninca women,ashaninca women,2000,W
Spiritual retreats for women,spiritual retreats for women,2001,W
Surfing for women,surfing for women,2000,W
Pacific Gulf Yupik women,pacific gulf yupik women,2000,W
Kalispel women,kalispel women,2000,W
"Male authors, Russian",russian male authors,2000,M
Women tap dancers,women tap dancers,2000,W
Women mammalogists,women mammalogists,2000,W
"Women poets, Swedish",swedish women poets,2000,W
Women museum directors,women museum directors,2000,W
"Women poets, Bolivian",bolivian women poets,2000,W
Male comedians,male comedians,2000,M
"Infertility, Female, in literature",female infertility in literature,2000,W
"Women poets, Canadian",canadian women poets,2000,W
"Women, Shandar",shandar women,2000,W
Women dairy farmers,women dairy farmers,2000,W
Women wood-pulp industry workers,women wood pulp industry workers,2000,W
"Women, Javanese",javanese women,2000,W
Toba women,toba women,2000,W
Obesity in women,obesity in women,2000,W
Guaymi women,guaymi women,2000,W
"Women, Suri",suri women,2000,W
"Women's Monument (Vancouver, B.C.)",b c ) women 's monument ( vancouver,2000,W
African American homeless women,african american homeless women,2000,W
Hispanic American young men,hispanic american young men,2000,M
Women religious Zionists,women religious zionists,2001,W
Women transport workers,women transport workers,2000,W
"Women poets, Puerto Rican",puerto rican women poets,2000,W
Indigenous women,indigenous women,2000,W
African American women tap dancers,african american women tap dancers,2000,W
African American women household employees,african american women household employees,2000,W
Women war criminals,women war criminals,2000,W
Naskapi women,naskapi women,2000,W
Eating disorders in women,eating disorders in women,2000,W
Female sex offenders,female sex offenders,2000,W
Women curlers,women curlers,2000,W
Women-owned law firms,women owned law firms,2000,W
Separated women,separated women,2000,W
African American women public relations personnel,african american women public relations personnel,2001,W
Women public relations personnel,women public relations personnel,2001,W
Asian American men,asian american men,2001,M
African American women jazz singers,african american women jazz singers,2001,W
"Women authors, Tamil",tamil women authors,2001,W
"Gay men's writings, New Zealand",new zealand gay men 's writings,2001,M
Jewish religious education of women,jewish religious education of women,2001,W
Women military cadets,women military cadets,2001,W
Etiquette for young women,etiquette for young women,2001,W
Depression in men,depression in men,2001,M
"Women, Pitjantjatjara",pitjantjatjara women,2001,W
Women dressmakers,women dressmakers,2001,W
Women conductors (Music),women conductors ( music ),2001,W
Women violists,women violists,2002,W
"Women authors, Venezuelan",venezuelan women authors,2001,W
"Women, Kalash",kalash women,2001,W
"Women poets, Honduran",honduran women poets,2001,W
Women violinists,women violinists,2001,W
Women fascists,women fascists,2001,W
Ixil women,ixil women,2001,W
Huichol women,huichol women,2001,W
Sechelt women,sechelt women,2001,W
"Women, Saharia",saharia women,2001,W
"Women, Adnyamathanha",adnyamathanha women,2006,W
African American women dramatists,african american women dramatists,2001,W
"Women poets, Icelandic",icelandic women poets,2001,W
"Women's periodicals, Persian",persian women 's periodicals,2001,W
Hispanic American women authors,hispanic american women authors,2001,W
Hispanic American women dramatists,hispanic american women dramatists,2001,W
Women in economic development,women in economic development,2001,W
Women forensic scientists,women forensic scientists,2001,W
Male caregivers,male caregivers,2001,M
Respiratory diseases in women,respiratory diseases in women,2001,W
Internet and women,internet and women,2001,W
Gifted men,gifted men,2001,M
Women circus performers in art,women circus performers in art,2001,W
Women circus performers in literature,women circus performers in literature,2001,W
National Day of Remembrance and Action on Violence Against Women (Canada),national day of remembrance and action on violence against women ( canada ),2001,W
Dutch American women,dutch american women,2001,W
African American women on television,african american women on television,2001,W
Self-acceptance in women,self acceptance in women,2001,W
