ID	HEADING	CLEANED	LANGUAGE	LCC	TYPE	YEAR_ADDED	YEAR_REVISED	BT	NT	SYNONYMS	YEAR_DEPRECATED	FORMER_HEADINGS	DELETION_NOTE	GENDER	GENDER_WORD
sh00000273	_Child concentration camp inmates	child concentration camp inmates	en	None	Topic	2000	None	None	None	None	2021-07-20T08:25:20	None	This authority record has been deleted because the heading is covered by the subject headings {Child internment camp inmates} (DLC)sh2021004026 and {Child Nazi concentration camp inmates} (DLC)sh2021004027		
sh00001789	_Matlachines	matlachines	en	None	Topic	2000	None	None	None	None	2019-12-20T11:02:49	None	This authority record has been deleted because the heading is covered by the subject heading {Matachines (Dance)} (DLC)sh 85082022		
sh00002141	_Jumbo (Elephant)	jumbo ( elephant )	en	None	Topic	2000	None	None	None	None	2015-01-09T16:14:14	None	This authority record has been deleted because the subject is covered by an identical name heading (no2014138969).		
sh00004967	_Childhood in art	childhood in art	en	None	Topic	2000	None	None	None	None	2009-05-28T13:27:07	None	This authority record has been deleted because the heading is covered by the subject heading {Children in art} (sh 85023533).		
sh00006119	_Industries	industries	en	None	Topic	2000	None	None	None	None	2015-01-26T09:19:50	None	This authority record has been deleted because the subdivision {Industries} is no longer valid.		
sh00006587	_Translating into French, [German, etc.]	translating into french [etc german ]	en	None	Topic	2000	None	None	None	None	2022-01-14T09:19:44	None	This authority record has been deleted because it was for a multiple subdivision.		
sh00007328	_Computer printers as musical instruments	computer printers as musical instruments	en	None	Topic	2000	None	None	None	None	2013-03-12T13:47:05	None	This authority record has been deleted because the heading is no longer valid.		
sh00007354	_Digital art	digital art	en	None	Topic	2000	None	None	None	None	2014-06-13T12:10:35	None	This authority record has been deleted because the heading is covered by the subject heading {Computer art} (sh 85029482).		
sh00007591	_Relations with [specific class of persons or ethnic group]	relations with [specific class of persons or ethnic group]	en	None	Topic	2000	None	None	None	None	2020-11-10T10:59:30	None	This authority record has been deleted because it was for a multiple subdivision.		
sh00008813	_Leatherside chub	leatherside chub	en	None	Topic	2000	None	None	None	None	2010-11-29T13:56:05	None	This authority record has been deleted because the heading is covered by the subject headings {Northern leatherside} (sh2010014412) and {Southern leatherside} (sh2010014409).		
sh00009678	_Ex-concentration camp inmates	ex concentration camp inmates	en	None	Topic	2000	None	None	None	None	2021-07-20T08:25:21	None	This authority record has been deleted because the heading is covered by the subject headings {Ex-internment camp inmates} (DLC)sh2021004029 and {Ex-Nazi concentration camp inmates} (DLC)sh2021004031		
sh00010094	_Gabonese . . .	gabonese	en	None	Topic	2000	None	None	None	None	2011-08-29T13:08:07	None	This general see reference has been deleted because the instruction is replaced by the subject heading {Gabonese} (sh2011002563).		
sh2001000017	_Sigmoceros	sigmoceros	en	None	Topic	2001	None	None	None	None	2017-04-14T11:42:35	None	This authority record has been deleted because the heading is covered by the subject heading {Alcelaphus} (DLC)sh 85003260		
sh2001000482	_Educational videos	educational videos	en	None	Topic	2001	None	None	None	None	2010-01-07T13:23:14	None	This authority record has been deleted because the heading is covered by the subject heading {Educational films} (sh2001000481).		
sh2001000580	_Viscaceae	viscaceae	en	None	Topic	2001	None	None	None	None	2024-06-05T14:27:41	None	This authority record has been deleted because the heading is covered by the subject heading {Santalaceae} (DLC)sh 85117390		
sh2001000814	_Documentary videos	documentary videos	en	None	Topic	2005	None	None	None	None	2010-01-07T13:19:32	None	This authority record has been deleted because the heading is covered by the subject heading {Documentary films} (sh 85088115).		
sh2001001364	_Groupe de recherche d'art visuel	groupe de recherche d 'art visuel	en	None	Topic	2001	None	None	None	None	2024-06-14T10:35:09	None	This authority record has been deleted because the subject heading is covered by the name heading {Groupe de recherche d'art visuel (Paris, France)} (DLC)no2024009048		
sh2001001666	_Oriental longhair cat	oriental longhair cat	en	None	Topic	2002	None	None	None	None	2015-12-04T07:54:23	None	This authority record has been deleted because the heading is covered by the subject heading {Oriental cat} (DLC)sh 95010884		
sh2001002003	_Women illegal aliens	women illegal aliens	en	None	Topic	2001	None	None	None	None	2021-11-23T14:39:03	None	This authority record has been deleted because the heading is covered by the subject headings {Women noncitizens} (DLC)sh2016000740 and {Illegal immigration} (DLC)sh2016000739	W	women
sh2001002810	_Tin cans as musical instruments	tin cans as musical instruments	en	None	Topic	2001	None	None	None	None	2013-03-12T13:48:38	None	This authority record has been deleted because the heading is no longer valid.		
sh2001002966	_Microsoft .NET Framework	microsoft net framework	en	None	Topic	2002	None	None	None	None	2017-12-14T12:45:23	None	This authority record has been deleted because the subject heading is covered by an identical name heading (DLC)n 2017043838		
sh2001003410	_Titanic (Steamship) in motion pictures	titanic ( steamship ) in motion pictures	en	None	Topic	2001	None	None	None	None	2012-05-03T14:36:14	None	This authority record has been deleted because the heading is replaced by the heading {Titanic (Steamship)--In motion pictures,} a heading for which a subject authority record is not made because it uses a free-floating subdivision.		
sh2001008558	_Amaravella (Group of artists)	amaravella ( group of artists )	en	None	Topic	2001	None	None	None	None	2014-07-14T11:21:31	None	"This authority record has been deleted because the subject heading is covered by the name heading {Gruppa ""Amaravella""} (nr 92014334)."		
sh2001008657	_Pioneer Woman Statue (Ponca City, Okla.)	okla ) pioneer woman statue ( ponca city	en	None	Topic	2001	None	None	None	None	2013-04-04T08:23:22	None	This authority record has been deleted because the subject heading is covered by the name heading {Baker, Bryant, 1881-1970. Pioneer woman} (n 2013003972).		
sh2001008755	_Smithsonian Astrophysical Observatory Submillimeter Array (Hawaii)	smithsonian astrophysical observatory submillimeter array ( hawaii )	en	None	Topic	2006	None	None	None	None	2016-11-09T15:32:04	None	This authority record has been deleted because the subject heading is covered by an identical name heading (DLC)n 2016046978		
