HEAD	PHRASE	FREQ
<M>	<M>	1309034
<W>	<W>	1066807
<M>	the <M>	418095
<W>	the <W>	190249
<M>	two <M>	120867
<M>	all <M>	111697
<M>	his <M>	110090
<M>	these <M>	97036
<M>	young <M>	63602
<M>	other <M>	55327
<M>	some <M>	34748
<W>	two <W>	31394
<W>	these <W>	31244
<M>	three <M>	30897
<W>	<W> and children	30438
<M>	our <M>	30136
<M>	both <M>	27838
<M>	white <M>	27325
<W>	other <W>	25265
<W>	young <W>	24061
<M>	my <M>	23800
<M>	most <M>	23390
<M>	many <M>	22629
<M>	such <M>	22507
<W>	all <W>	21185
<W>	many <W>	19921
<W>	some <W>	18407
<M>	few <M>	17012
<M>	four <M>	16148
<M>	those <M>	15817
<M>	old <M>	15444
number	number of <M>	14342
<M>	good <M>	14042
<M>	their <M>	13845
<M>	your <M>	13580
<M>	great <M>	13443
<W>	a <W>	12002
<W>	most <W>	11592
<M>	five <M>	11555
<M>	<M> whose	10648
group	group of <M>	10456
<M>	wise <M>	10292
<W>	black <W>	9978
<M>	about <M>	9969
<W>	pregnant <W>	9644
<M>	<M> are	9579
<M>	a <M>	9336
<M>	<M> were	9026
minds	minds of <M>	8898
<M>	two young <M>	8078
hearts	hearts of <M>	7767
<M>	black <M>	7723
<W>	old <W>	7456
<M>	armed <M>	7348
<M>	several <M>	7281
<W>	their <W>	6978
<M>	only <M>	6948
thousands	thousands of <M>	6934
<W>	white <W>	6920
<W>	married <W>	6885
<M>	six <M>	6820
officers	officers and <M>	6789
<M>	ten <M>	6709
minds	<M> 's minds	6536
rights	<W> 's rights	6512
<W>	both <W>	6488
<M>	you <M>	6443
<M>	dead <M>	6430
lives	lives of <M>	6299
<M>	one <M>	6041
<W>	<W> s	5977
<M>	more <M>	5919
<W>	three <W>	5916
<W>	<W> are	5850
<M>	brave <M>	5735
hands	hands of <M>	5713
number	number of <W>	5612
<M>	older <M>	5578
<M>	business <M>	5496
<M>	honest <M>	5451
souls	souls of <M>	5373
<W>	older <W>	5324
<W>	few <W>	5323
<M>	twenty <M>	5242
<W>	american <W>	5215
<M>	<M> have	5205
<M>	gay <M>	5120
<M>	dozen <M>	4960
eyes	eyes of <M>	4908
body	body of <M>	4810
<W>	<W> and girls	4725
children	children of <M>	4693
army	an army of <M>	4655
<W>	those <W>	4433
<M>	younger <M>	4403
sons	sons of <M>	4341
<W>	more <W>	4339
<W>	such <W>	4263
<W>	our <W>	4160
<M>	eight <M>	4152
<M>	<M> had	4151
group	group of <W>	4052
<M>	bad <M>	4031
<M>	learned <M>	4003
<M>	strong <M>	3934
lot	lot of <M>	3901
<W>	postmenopausal <W>	3844
<M>	<M> of letters	3841
violence	violence against <W>	3835
<M>	seven <M>	3767
<M>	twelve <M>	3731
hundreds	hundreds of <M>	3705
<M>	free <M>	3705
couple	couple of <M>	3702
majority	majority of <M>	3695
<M>	red <M>	3685
<M>	<M> of genius	3676
girls	girls and <W>	3670
<M>	rich <M>	3582
<M>	poor <M>	3562
<W>	<W> whose	3552
<M>	wicked <M>	3549
<M>	<M> of science	3531
sex	<W> sex	3520
<M>	his own <M>	3516
<W>	poor <W>	3461
<M>	<M> and boys	3425
movement	<W> 's movement	3393
party	party of <M>	3384
class	class of <M>	3357
<M>	no <M>	3334
<M>	wounded <M>	3333
<M>	fifty <M>	3326
workers	<W> workers	3318
<W>	african american <W>	3223
world	world of <M>	3221
company	company of <M>	3206
<M>	medical <M>	3191
crowd	crowd of <M>	3180
<M>	<M> and things	3157
<W>	indian <W>	3142
<M>	holy <M>	3140
<W>	beautiful <W>	3114
<M>	ordinary <M>	3104
<W>	we <W>	3097
<M>	<M> and horses	3096
hearts	<M> 's hearts	3060
lives	lives of <W>	3044
none	none of <M>	3006
