HEAD	PHRASE	FREQ
<M>	<M>	1308896
<W>	<W>	1066741
<M>	the <M>	418095
<W>	the <W>	190249
<M>	his <M>	110065
<M>	all <M>	100929
<M>	these <M>	97036
<M>	the two <M>	67105
<M>	other <M>	45501
<M>	two <M>	44877
<M>	some <M>	34740
<W>	these <W>	31244
<M>	our <M>	30114
<M>	both <M>	26638
<M>	the young <M>	24062
<M>	my <M>	23777
<M>	most <M>	23264
<M>	such <M>	22445
<M>	many <M>	22427
<W>	<W> and children	21358
<W>	many <W>	19833
<W>	other <W>	19609
<W>	the two <W>	18438
<W>	some <W>	18407
<M>	three <M>	17654
<W>	all <W>	15868
<M>	those <M>	15817
<M>	their <M>	13845
<M>	your <M>	13563
<M>	few <M>	12359
<W>	a <W>	12002
<M>	four <M>	11742
<W>	most <W>	11570
<M>	the three <M>	11311
<W>	two <W>	10613
<M>	five <M>	10031
<M>	about <M>	9903
<M>	the white <M>	9643
<M>	a <M>	9336
<M>	the other <M>	9266
<W>	the <W> and children	8475
group	a group of <M>	8152
<M>	all the <M>	8100
minds	the minds of <M>	7963
<M>	<M> whose	7938
number	a number of <M>	7290
<M>	several <M>	7261
<M>	these two <M>	7017
<M>	<M> are	6994
<W>	their <W>	6972
hearts	the hearts of <M>	6587
<M>	you <M>	6435
thousands	thousands of <M>	6381
<M>	only <M>	6361
<M>	ten <M>	6340
<W>	both <W>	6018
<M>	one <M>	5929
<M>	six <M>	5853
number	the number of <M>	5701
<M>	more <M>	5617
<M>	the two young <M>	5468
<W>	the other <W>	5279
<M>	<M> were	5244
<M>	the old <M>	5132
<M>	twenty <M>	5050
<W>	<W> are	4947
souls	the souls of <M>	4792
lives	the lives of <M>	4719
officers	officers and <M>	4644
<W>	all the <W>	4567
<M>	these young <M>	4541
army	an army of <M>	4524
<W>	those <W>	4433
<M>	a few <M>	4312
<W>	<W> s	4272
<W>	the young <W>	4247
<W>	more <W>	4242
<W>	such <W>	4228
children	the children of <M>	4208
<W>	our <W>	4160
hands	the hands of <M>	4118
<M>	<M> have	4030
sons	the sons of <M>	3872
<M>	eight <M>	3785
<W>	few <W>	3758
body	a body of <M>	3743
violence	violence against <W>	3735
<W>	<W> and girls	3726
<M>	the four <M>	3669
<M>	his own <M>	3516
<M>	the <M> were	3451
hundreds	hundreds of <M>	3415
<M>	<M> of letters	3385
<M>	no <M>	3334
couple	a couple of <M>	3319
girls	girls and <W>	3303
<M>	<M> of genius	3292
<M>	seven <M>	3285
<W>	three <W>	3280
eyes	the eyes of <M>	3270
<M>	twelve <M>	3262
<M>	fifty <M>	3245
sex	the <W> sex	3231
movement	the <W> 's movement	3176
lot	a lot of <M>	3176
group	a group of <W>	3141
<M>	<M> and things	3117
party	a party of <M>	3114
<W>	we <W>	3097
number	the number of <W>	2982
<M>	the red <M>	2927
<M>	<M> of science	2913
<M>	the wise <M>	2911
<M>	her <M>	2868
<M>	a dozen <M>	2773
gods	gods and <M>	2759
<M>	we <M>	2755
<M>	thirty <M>	2681
<W>	<W> whose	2664
<M>	<M> and horses	2661
force	a force of <M>	2656
<M>	<M> had	2635
<W>	no <W>	2606
world	the world of <M>	2570
<M>	<M> and boys	2564
<W>	<W> have	2561
<W>	his <W>	2555
<M>	our young <M>	2546
<M>	the best <M>	2541
<W>	several <W>	2508
lives	the lives of <W>	2493
majority	the majority of <M>	2474
status	the status of <W>	2471
<M>	his fellow <M>	2448
<W>	you <W>	2427
rest	the rest of the <M>	2404
counterparts	their <M> counterparts	2402
<M>	a thousand <M>	2339
<W>	her <W>	2334
<W>	the three <W>	2322
<M>	a hundred <M>	2309
number	a number of <W>	2277
<M>	the younger <M>	2273
<M>	the older <M>	2271
<W>	the old <W>	2257
none	none of the <M>	2233
<M>	all other <M>	2233
millions	millions of <M>	2157
sex	the <M> sex	2153
thousands	thousands of <W>	2133
crowd	a crowd of <M>	2127
<M>	fifteen <M>	2115
<M>	<M> and animals	2114
<W>	<W> of color	2101
<M>	all these <M>	2089
lot	a lot of <W>	2087
<M>	the <M> whose	2087
<M>	forty <M>	2079
body	the <W> body	2072
<M>	two young <M>	2028
<W>	only <W>	2015
boys	boys and <M>	2004
officers	the officers and <M>	2001
<W>	<W> were	1991
<M>	the <M> are	1975
plenty	plenty of <M>	1970
affairs	the affairs of <M>	1947
work	the work of <M>	1942
voice	a <W> voice	1927
<M>	all his <M>	1922
majority	the majority of <W>	1888
<M>	<M> of the world	1886
head	the head of <M>	1884
<W>	<W> and percent	1884
<W>	these two <W>	1850
<M>	two other <M>	1850
<M>	those two <M>	1844
groups	groups of <M>	1816
<M>	are <M>	1815
room	the <M> 's room	1812
<M>	<M> s	1810
faces	the faces of the <M>	1805
<M>	nine <M>	1797
<M>	all good <M>	1789
<M>	any <M>	1757
<M>	many young <M>	1739
<M>	<M> knew	1691
<M>	its <M>	1683
rights	the rights of <W>	1679
mass	the mass of <M>	1674
number	a large number of <M>	1669
<M>	<M> in general	1662
crew	a crew of <M>	1654
group	the group of <M>	1612
<M>	the other two <M>	1608
bodies	the bodies of <M>	1601
position	the position of <W>	1592
<W>	one <W>	1584
<M>	these three <M>	1557
<W>	four <W>	1548
band	a band of <M>	1518
<W>	your <W>	1516
company	a company of <M>	1515
sight	the sight of <M>	1505
<W>	these young <W>	1492
<M>	that <M>	1489
<M>	sixty <M>	1471
<W>	<W> with cancer	1471
class	a class of <M>	1467
handful	a handful of <M>	1452
<M>	all three <M>	1451
<W>	the <W> s	1449
<M>	our own <M>	1409
<W>	a few <W>	1406
<M>	the wounded <M>	1406
<W>	<W> and minorities	1385
company	the company of <M>	1372
<M>	<M> and money	1362
<M>	the <M> had	1360
society	the society of <M>	1360
<M>	<M> know	1337
<M>	<M> of ability	1337
<M>	<M> of character	1336
role	the role of <W>	1335
<M>	<M> living	1329
voice	a <M> voice	1319
<M>	just <M>	1294
eyes	the eyes of the <M>	1291
presence	the presence of <M>	1281
life	the life of <M>	1275
<M>	<M> of learning	1270
