CATEGORY,CLEANED,GENDER
Middle-earth_Men,middle earth men,M
American_male_writers,american male writers,M
Men's_health,men 's health,M
Female_legendary_creatures,female legendary creatures,W
Women_in_Greek_mythology,women in greek mythology,W
Women_and_religion,women and religion,W
Women_in_mythology,women in mythology,W
Men's_sports_in_the_United_States,men 's sports in the united states,M
Female_harem_anime_and_manga,female harem anime and manga,W
Female_Roman_monarchs,female roman monarchs,W
Women's_culture,women 's culture,W
Women's_rights,women 's rights,W
Women_in_history,women in history,W
Female_supernatural_figures_in_Norse_mythology,female supernatural figures in norse mythology,W
Women's_studies,women 's studies,W
Women_in_Chinese_mythology,women in chinese mythology,W
Women's_rights_activists,women 's rights activists,W
Men_and_death,men and death,M
Women_and_death,women and death,W
Women_in_war,women in war,W
Women_musicians_by_instrument,women musicians by instrument,W
Male_musicians,male musicians,M
Women's_musical_groups,women 's musical groups,W
Men's_musical_groups,men 's musical groups,M
Male_clergy,male clergy,M
Swedish_women,swedish women,W
Women's_organizations,women 's organizations,W
Women_and_education,women and education,W
British_male_writers,british male writers,M
20th-century_British_male_writers,20th century british male writers,M
New_England_Women's_and_Men's_Athletic_Conference_schools,new england women 's and men 's athletic conference schools,A
Men_by_occupation,men by occupation,M
Transgender_hormone_therapy_(male-to-female),transgender hormone therapy ( male to female ) ,A
Women-related_lists,women related lists,W
Men's_organizations_in_the_United_States,men 's organizations in the united states,M
British_men_by_rank,british men by rank,M
Women's_team_sports,women 's team sports,W
Female_dancers,female dancers,W
Women,women,W
Gay_male_literature,gay male literature,M
Gay_men_by_occupation,gay men by occupation,M
Male_writers,male writers,M
Women_writers,women writers,W
Male-to-female_cross-dressers,male to female cross dressers,A
Pornographic_men's_magazines,pornographic men 's magazines,M
Swedish_men_by_occupation,swedish men by occupation,M
8th-century_Frankish_women,8th century frankish women,W
Men's_sports_competitions_in_Greece,men 's sports competitions in greece,M
Imperial_Russian_women,imperial russian women,W
DC_Comics_male_superheroes,dc comics male superheroes,M
Female_gender_nonconformity,female gender nonconformity,W
Female_mammals,female mammals,W
Women's_basketball,women 's basketball,W
Women_writers_by_literary_movement,women writers by literary movement,W
Men_at_Work,men at work,M
Men's_entertainment,men 's entertainment,M
Men's_mass_media,men 's mass media,M
Women's_entertainment,women 's entertainment,W
Women's_mass_media,women 's mass media,W
Polish_women_by_occupation,polish women by occupation,W
Polish_women_in_politics,polish women in politics,W
Literature_by_women,literature by women,W
Ancient_women,ancient women,W
Roman_women,roman women,W
Women_by_culture,women by culture,W
Women_by_former_country,women by former country,W
Women_in_ancient_Rome,women in ancient rome,W
Female_singers,female singers,W
Female_singers_by_voice_type,female singers by voice type,W
Male_singers,male singers,M
20th-century_men,20th century men,M
Video_games_featuring_female_protagonists,video games featuring female protagonists,W
