ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
	25	2	0	0	0	1	2	0	0	1
	23	0	1	2	1	3	0	0	1	0
	61	2	4	4	3	0	3	0	6	1
	110	3	4	1	2	4	4	5	6	1
	100	7	5	3	5	6	2	3	2	4
	62	1	1	2	4	0	0	5	5	1
	10	0	0	0	0	0	0	2	1	0
	300	20	20	12	11	14	6	9	9	23
	15	0	3	0	0	0	2	0	6	0
	23	0	1	1	3	2	0	0	0	0
	88	2	8	3	1	4	4	2	5	2
	42	1	1	2	2	0	3	1	2	4
	231	8	2	4	6	5	15	11	0	9
	241	2	14	6	10	14	6	4	15	16
	2593	64	103	86	146	112	92	114	94	68
	96	3	4	1	7	3	5	5	2	1
	514	18	16	17	13	25	25	18	22	21
	21	0	2	1	0	2	1	0	1	1
	1505	33	31	33	31	31	42	44	42	25
	12990287	522112	551584	651558	772215	746595	696618	699603	653820	528349
	35311	864	877	1051	1058	1124	1115	1165	1179	1185
	17007	610	676	789	858	841	796	807	746	616
	165397	4793	5121	5759	6807	6624	6016	5960	6194	5330
	23591	689	692	687	755	939	861	870	767	687
	34	1	1	1	0	0	1	0	1	1
	112073	3176	3443	3353	4122	3652	3925	4049	3451	3185
	19	0	2	0	0	0	0	2	0	2
	1555	27	29	39	47	44	30	35	41	38
	36518	894	822	1121	1403	1223	1337	1193	1400	1321
	11	0	0	1	0	1	0	1	1	1
	1812	33	38	53	45	40	52	60	65	29
	2474	59	65	65	102	65	55	87	98	82
	36279	915	886	1058	1210	1137	1065	1066	927	902
	3355305	101245	99984	116772	125893	143083	137460	145939	128233	117556
	22	0	0	0	1	2	1	1	1	0
	55	6	5	7	5	2	3	1	0	2
	23862	863	2398	3054	2979	2899	2143	2329	1685	1710
	42064	1221	1262	1457	1780	1626	1694	1562	1611	1594
	15	0	0	0	0	0	1	0	0	2
	95	2	1	2	4	3	6	2	1	4
	29	2	0	1	3	1	4	2	1	0
	1080384	33216	34634	44697	52773	55945	55130	52619	51688	49298
