Concept	PROP_W	TOTAL_GEN_FREQ
palauan [men/male/women/female]	0.6694214876033058	121
romanian [men/male/women/female]	0.848078096400244	3278
palestinian [men/male/women/female]	0.8696850001659641	30127
syrian [men/male/women/female]	0.8094234532590697	6643
bulgarian [men/male/women/female]	0.8429232804232805	3024
panamanian [men/male/women/female]	0.7622950819672131	366
tahitian [men/male/women/female]	0.7770870337477798	3378
burmese [men/male/women/female]	0.8077086882453152	4696
taino [men/male/women/female]	0.7138364779874213	318
burundian [men/male/women/female]	0.8903743315508021	374
taiwanese [men/male/women/female]	0.623451825639376	6217
tajik [men/male/women/female]	0.7017994858611826	778
paraguayan [men/male/women/female]	0.8014184397163121	564
miskito [men/male/women/female]	0.6595092024539877	326
parsi [men/male/women/female]	0.7493438320209974	762
tamil [men/male/women/female]	0.8397435897435898	4836
caddo [men/male/women/female]	0.6322314049586777	242
tanzanian [men/male/women/female]	0.8896321070234113	1794
russian [men/male/women/female]	0.7391456757974861	39938
rwandan [men/male/women/female]	0.9170017231476163	3482
cambodian [men/male/women/female]	0.7875095201827875	3939
cameroonian [men/male/women/female]	0.847457627118644	1416
sahrawi [men/male/women/female]	0.8944033790918691	947
inuit [men/male/women/female]	0.7612892395501091	5957
mohawk [men/male/women/female]	0.6535893155258765	1198
canadian [men/male/women/female]	0.8499258945585433	47230
moldovan [men/male/women/female]	0.884469696969697	528
wolof [men/male/women/female]	0.840782122905028	358
salvadoran [men/male/women/female]	0.849859943977591	1785
temne [men/male/women/female]	0.7843137254901961	204
samaritan [men/male/women/female]	0.8095593726661687	1339
cantonese [men/male/women/female]	0.6901408450704225	497
mongol [men/male/women/female]	0.8038702928870293	1912
iranian [men/male/women/female]	0.8722695695767385	27926
mongolian [men/male/women/female]	0.7184065934065934	1456
iraqi [men/male/women/female]	0.7753602388196796	17419
irish [men/male/women/female]	0.7366865544821471	54137
samoan [men/male/women/female]	0.6459074733096085	2248
montenegrin [men/male/women/female]	0.6375	160
santal [men/male/women/female]	0.6967213114754098	366
sardinian [men/male/women/female]	0.8095238095238095	357
israeli [men/male/women/female]	0.7860644539098288	12443
saudi [men/male/women/female]	0.8120870914000115	17407
saudi arabian [men/male/women/female]	0.8528225806451613	992
italian [men/male/women/female]	0.6363450740173557	48975
ivorian [men/male/women/female]	0.7435897435897436	156
jamaican [men/male/women/female]	0.6316067653276956	5676
mormon [men/male/women/female]	0.7868586022753656	17228
japanese [men/male/women/female]	0.7008569348244124	107126
afghan [men/male/women/female]	0.8654073516766982	37216
moroccan [men/male/women/female]	0.8433116935160696	12477
french [men/male/women/female]	0.6723894490884782	80031
thai [men/male/women/female]	0.7371953149730928	15795
african [men/male/women/female]	0.8062205592489894	149665
javanese [men/male/women/female]	0.7497656982193065	2134
mossi [men/male/women/female]	0.6440677966101694	118
xhosa [men/male/women/female]	0.6064638783269962	1052
catalan [men/male/women/female]	0.8459167950693375	649
yao [men/male/women/female]	0.7689530685920578	277
afrikaner [men/male/women/female]	0.7204724409448819	1778
frisian [men/male/women/female]	0.725	160
persian [men/male/women/female]	0.8028699129616561	4251
yemeni [men/male/women/female]	0.695859872611465	3140
jordanian [men/male/women/female]	0.8453887884267631	3318
scottish [men/male/women/female]	0.7554101968455802	16358
peruvian [men/male/women/female]	0.8	2940
yoruba [men/male/women/female]	0.8019417475728156	2060
mosuo [men/male/women/female]	0.7275747508305648	301
central american [men/male/women/female]	0.8252480705622933	1814
central asian [men/male/women/female]	0.8392504930966469	1014
philippine [men/male/women/female]	0.9641924654979486	2681
kabyle [men/male/women/female]	0.8251121076233184	446
karen [men/male/women/female]	0.8869485294117647	1088
kashmiri [men/male/women/female]	0.7748194945848376	2216
kazakh [men/male/women/female]	0.7317676143386898	809
gabonese [men/male/women/female]	0.6163265306122448	245
mozambican [men/male/women/female]	0.7680140597539543	1138
galician [men/male/women/female]	0.8312056737588652	705
tibetan [men/male/women/female]	0.7639081096042071	3613
kenyan [men/male/women/female]	0.8249704341949654	5919
gambian [men/male/women/female]	0.8095238095238095	1533
khasi [men/male/women/female]	0.725	520
aka [men/male/women/female]	0.6180048661800487	411
akan [men/male/women/female]	0.7761194029850746	469
ganda [men/male/women/female]	0.6715686274509803	204
alabama [men/male/women/female]	0.709628506444276	1319
khmer [men/male/women/female]	0.744661921708185	1124
akha [men/male/women/female]	0.7430997876857749	471
mughal [men/male/women/female]	0.8795918367346939	490
kikuyu [men/male/women/female]	0.7377521613832853	2082
albanian [men/male/women/female]	0.7014661274014156	3956
algerian [men/male/women/female]	0.8659576195502151	12317
timorese [men/male/women/female]	0.8519593613933236	2067
chamorro [men/male/women/female]	0.6235138705416117	757
kirghiz [men/male/women/female]	0.6956521739130435	161
seminole [men/male/women/female]	0.669179229480737	1194
seneca [men/male/women/female]	0.7209136331192005	1401
senegalese [men/male/women/female]	0.723963599595551	2967
tiv [men/male/women/female]	0.7232142857142857	224
tiwi [men/male/women/female]	0.6433823529411765	272
tlingit [men/male/women/female]	0.6899128268991283	803
korean [men/male/women/female]	0.783645925023134	44307
dogon [men/male/women/female]	0.7428023032629558	521
togolese [men/male/women/female]	0.8220640569395018	281
kosovar [men/male/women/female]	0.8073170731707318	410
alutiiq [men/male/women/female]	0.6121495327102804	428
kuwaiti [men/male/women/female]	0.8469621704241498	5234
kyrgyz [men/male/women/female]	0.6206467661691543	804
naga [men/male/women/female]	0.8473105841526894	1729
tongan [men/male/women/female]	0.7250580046403712	862
american [men/male/women/female]	0.7421587518078465	873968
georgian [men/male/women/female]	0.6719745222929936	1570
dominican [men/male/women/female]	0.7562189054726368	5427
german [men/male/women/female]	0.7683170440681601	74589
chechen [men/male/women/female]	0.7391626528343831	2699
nama [men/male/women/female]	0.817351598173516	219
serb [men/male/women/female]	0.6383866481223922	1438
serbian [men/male/women/female]	0.7020355132091814	2309
ghanaian [men/male/women/female]	0.851528384279476	3664
cherokee [men/male/women/female]	0.7589664481295796	10372
cheyenne [men/male/women/female]	0.6719906505648617	2567
chickasaw [men/male/women/female]	0.6302083333333334	384
polish [men/male/women/female]	0.7631702452188197	17046
lao [men/male/women/female]	0.8259668508287292	2172
laotian [men/male/women/female]	0.7467741935483871	620
native american [men/male/women/female]	0.8482543397698459	25635
chilean [men/male/women/female]	0.9046523517382413	3912
chinese [men/male/women/female]	0.6972027600143584	150434
navajo [men/male/women/female]	0.6493338267949667	5404
choctaw [men/male/women/female]	0.7103274559193955	1588
latvian [men/male/women/female]	0.7567359507313318	1299
chukchi [men/male/women/female]	0.6068376068376068	117
chumash [men/male/women/female]	0.6015325670498084	261
nepalese [men/male/women/female]	0.7807456872565387	1797
nepali [men/male/women/female]	0.8123872519542995	3326
circassian [men/male/women/female]	0.8501529051987767	981
druze [men/male/women/female]	0.7213785046728972	1712
angolan [men/male/women/female]	0.8160535117056856	598
lebanese [men/male/women/female]	0.7335811648079306	4842
dutch [men/male/women/female]	0.6270094596947362	17231
shan [men/male/women/female]	0.8390941597139452	839
lenape [men/male/women/female]	0.6502347417840375	426
apache [men/male/women/female]	0.608817137534927	3221
new zealand [men/male/women/female]	0.8446362515413071	6488
powhatan [men/male/women/female]	0.6085011185682326	447
yugoslav [men/male/women/female]	0.8358831710709318	719
east asian [men/male/women/female]	0.802771855010661	1876
greek [men/male/women/female]	0.6358323186641155	28745
zambian [men/male/women/female]	0.8	1320
zanzibari [men/male/women/female]	0.8654646324549237	721
zapotec [men/male/women/female]	0.9286624203821656	785
greenlandic [men/male/women/female]	0.6985915492957746	355
zimbabwean [men/male/women/female]	0.847003682624707	2987
nicaraguan [men/male/women/female]	0.8081500180310134	2773
nigerian [men/male/women/female]	0.8534141414141414	12375
ecuadorian [men/male/women/female]	0.835698282300224	1339
liberian [men/male/women/female]	0.9023558586484811	3226
shona [men/male/women/female]	0.7803921568627451	1020
trinidadian [men/male/women/female]	0.6822323462414579	878
libyan [men/male/women/female]	0.8298440979955457	2245
arab [men/male/women/female]	0.7472740663565001	55669
shoshone [men/male/women/female]	0.7752525252525253	1188
guatemalan [men/male/women/female]	0.8637670740474479	2782
arapaho [men/male/women/female]	0.6370481927710844	664
guinean [men/male/women/female]	0.7370600414078675	966
gujarati [men/male/women/female]	0.7937853107344632	708
argentine [men/male/women/female]	0.8086988573534832	2713
