('Women collectors', None)
('Women dermatologists', None)
('Women plant pathologists', None)
('Women bankers', None)
('Women bodybuilders', None)
('Women skiers', None)
('Women librettists', None)
('Women insurance agents', None)
('Women calligraphers', None)
('Women stockbrokers', None)
('Women school principals', None)
('Women broadcasters', None)
('Women clerks', None)
('Women clerks (Retail trade)', None)
('Women medical technologists', None)
('Women cinematographers', None)
('Women rowers', None)
('Women surfers', None)
('Women college teachers', None)
('Women coaches (Athletics)', None)
('Women mammalogists', None)
('Women museum directors', None)
('Women pipe fitters', None)
('Women consultants', None)
('Women cytologists', None)
('Women optometrists', None)
('Women composers', None)
('Women dentists', None)
('Women designers', None)
('Women diplomats', None)
('Women history teachers', None)
('Women physical education teachers', None)
('Women divers', None)
('Women economists', None)
('Women educators', None)
('Women athletic trainers', None)
('Women woodworkers', None)
('Women engineers', None)
('Women translators', None)
('Women fire fighters', None)
('Women engravers', None)
('Women evangelists', None)
('Women entertainers', None)
('Women curlers', None)
('Women farmers', None)
('Women gardeners', None)
('Women geneticists', None)
('Women geographers', None)
('Women planners', None)
('Women editors', None)
('Women real estate agents', None)
('Women fishers', None)
('Women geologists', None)
('Women environmentalists', None)
('Women pharmacists', None)
('Women historians', None)
('Women dressmakers', None)
('Women test pilots', None)
('Women violists', None)
('Women healers', None)
('Women violinists', None)
('Women biologists', None)
('Women copy writers', None)
('Women critics', None)
('Women aerospace engineers', None)
('Women bookbinders', None)
('Women forensic scientists', None)
('Women runners', None)
('Women biographers', None)
('Women park rangers', None)
('Women chief executive officers', None)
('Women geophysicists', None)
('Women illustrators', None)
('Women marine scientists', None)
('Women presidents', None)
('Women band directors', None)
('Women telegraphers', None)
('Women cartoonists', None)
('Women spiritualists', None)
('Women cardiologists', None)
('Women philologists', None)
('Women technologists', None)
('Women cyclists', None)
('Women hikers', None)
('Women computer scientists', None)
('Women industrial engineers', None)
('Women magicians', None)
('Women chief information officers', None)
('Women musicologists', None)
('Women typographers', None)
('Women information scientists', None)
('Women hunters', None)
('Women boxers', None)
('Women otolaryngologists', None)
('Women journalists', None)
('Women jockeys', None)
('Women kindergarten teachers', None)
('Women landscape architects', None)
('Women judges', None)
('Women legislators', None)
('Women librarians', None)
('Women gamblers', None)
('Women miners', None)
('Women molecular biologists', None)
('Women missionaries', None)
('Women motorcyclists', None)
('Women booksellers', None)
('Women cartographers', None)
('Women anthropologists', None)
('Women naturalists', None)
('Women novelists', None)
('Women balloonists', None)
('Women painters', None)
('Women philosophers', None)
('Women photographers', None)
('Women physicians', None)
('Women physicists', None)
('Women physiologists', None)
('Women drummers (Musicians)', None)
('Women poets', None)
('Women potters', None)
('Women priests', None)
('Women psychoanalysts', None)
('Women psychologists', None)
('Women cytogeneticists', None)
('Women politicians', None)
('Women sculptors', None)
('Women scientists', None)
('Women skaters', None)
('Women volunteers', None)
('Women soldiers', None)
('Women social scientists', None)
('Women statisticians', None)
('Women spies', None)
('Women surgeons', None)
('Women transplant surgeons', None)
('Women imams (Mosque officers)', None)
('Women computer engineers', None)
('Women truck drivers', None)
('Women basketball coaches', None)
('Women veterinarians', None)
('Women welders', None)
('Women ecologists', None)
('Women anesthesiologists', None)
('Women carpenters', None)
('Women wrestlers', None)
('Women sportscasters', None)
('Women swimmers', None)
('Women judges (Islamic law)', None)
('Women beekeepers', None)
('Women lyricists', None)
('Women animators', None)
('Women personal trainers', None)
('Women physical therapists', None)
('Women school supervisors', None)
('Women police chiefs', None)
('Women linguists', None)
('Women metal-workers', None)
('Women psychiatrists', None)
('Women goldsmiths', None)
('Women conservationists', None)
('Women merchant mariners', None)
('Women ambassadors', None)
('Women puppeteers', None)
('Women beadworkers', None)
('Women executives', None)
('Women city planners', None)
('Women humorists', None)
('Women merchants', None)
('Women roller skaters', None)
('Women ichthyologists', None)
('Women golfers', None)
('Women insurance investigators', None)
('Women private investigators', None)
('Women loggers', None)
('Women gynecologists', None)
('Women textile designers', None)
('Women mathematics teachers', None)
('Women air traffic controllers', None)
('Women chemists', None)
('Women mayors', None)
('Women deans (Education)', None)
('Women helicopter pilots', None)
('Women shepherds', None)
('Women ranchers', None)
('Women governors', None)
('Women marine engineers', None)
('Women astronomers', None)
('Women bishops', None)
('Women genealogists', None)
('Women bowlers', None)
('Women pianists', None)
('Women cantors (Judaism)', None)
('Women midwives', None)
('Women printmakers', None)
('Women sailors', None)
('Women forensic pathologists', None)
('Women construction workers', None)
('Women art teachers', None)
('Women artisans', None)
('Women music teachers', None)
('Women pathologists', None)
('Women guitarists', None)
('Women snowboarders', None)
('Women bacteriologists', None)
('Women microbiologists', None)
('Women physical scientists', None)
('Women jewelers', None)
('Women ambulance drivers', None)
('Women organists', None)
('Women sexologists', None)
('Women football coaches', None)
('Women surveyors', None)
('Shaker women', None)
('Women lithographers', None)
('Women accountants', None)
('Women sociologists', None)
('Women agriculturists', None)
('Women muralists', None)
('Women archaeologists', None)
('Women architects', None)
('Women Egyptologists', None)
('Women entomologists', None)
('Women specialists', None)
('Women ethnologists', None)
('Women oceanographers', None)
('Women pediatricians', None)
('Women fashion designers', None)
('Women inventors', None)
('Women jurors', None)
('Women zoologists', None)
('Women aquatic scientists', None)
('Women silversmiths', None)
('Women paleontologists', None)
('Women astronauts', None)
('Women nutritionists', None)
('Women botanists', None)
('Women orators', None)
('Women choreographers', None)
('Women rabbis', None)
