Concept	PROP_W	TOTAL_GEN_FREQ
[men/male/women/female] cantor	0.8177215189873418	395
[men/male/women/female] captain	0.7229449211181843	3613
[men/male/women/female] sex worker	0.7009018206567977	29385
[men/male/women/female] care provider	0.6823529411764706	170
[men/male/women/female] caregiver	0.6696967192793984	12101
[men/male/women/female] accountant	0.7448621553884712	1995
[men/male/women/female] acrobat	0.8127812781278128	1111
[men/male/women/female] cartoonist	0.9001225490196079	1632
[men/male/women/female] cashier	0.7819932049830125	1766
[men/male/women/female] activist	0.9327418814864412	59740
[men/male/women/female] founder	0.7783161720169595	4953
[men/male/women/female] catechist	0.8054545454545454	550
[men/male/women/female] administrator	0.734558639659915	7998
[men/male/women/female] cellist	0.8264984227129337	317
[men/male/women/female] ceo	0.8295875898600076	13215
[men/male/women/female] chair	0.828874305906108	1981
[men/male/women/female] chairperson	0.8498098859315589	526
[men/male/women/female] funeral director	0.6460176991150443	113
[men/male/women/female] chaplain	0.7853107344632768	1062
[men/male/women/female] affiliate	0.7482352941176471	425
[men/male/women/female] gambler	0.709585933068633	1763
[men/male/women/female] chauffeur	0.6575052854122622	473
[men/male/women/female] sheriff	0.8584905660377359	954
[men/male/women/female] gardener	0.7408376963350786	1910
[men/male/women/female] agent	0.7597644513880544	24963
[men/male/women/female] chef	0.6602543720190779	6290
[men/male/women/female] chemist	0.912336195210122	2213
[men/male/women/female] shooter	0.7192982456140351	1083
[men/male/women/female] shop assistant	0.7735723771580345	1506
[men/male/women/female] aid	0.7139049311417148	2251
[men/male/women/female] shopper	0.8553591296822846	8089
[men/male/women/female] chief	0.7652373075454892	7859
[men/male/women/female] general manager	0.7192429022082019	317
[men/male/women/female] choreographer	0.70193401592719	879
[men/male/women/female] chorister	0.6312769010043041	697
[men/male/women/female] singer	0.7347329585382993	56920
[men/male/women/female] ambassador	0.8758716875871687	2151
[men/male/women/female] sitter	0.6913849509269356	1834
[men/male/women/female] cinematographer	0.8861111111111111	360
[men/male/women/female] skier	0.6941340782122905	1432
[men/male/women/female] skipper	0.7455621301775148	169
[men/male/women/female] analyst	0.6260477111540941	6204
[men/male/women/female] geographer	0.9175257731958762	873
[men/male/women/female] geologist	0.8393234672304439	473
[men/male/women/female] anchor	0.6472652822462709	3419
[men/male/women/female] classroom teacher	0.6736111111111112	144
[men/male/women/female] clerk	0.6674658674658674	15015
[men/male/women/female] officer	0.9505905217521303	13378
[men/male/women/female] clinical psychologist	0.6265822784810127	158
[men/male/women/female] clinician	0.6047619047619047	1680
[men/male/women/female] snowboarder	0.7289156626506024	498
[men/male/women/female] clown	0.7649074708704592	1459
[men/male/women/female] coach	0.6959349593495935	13530
[men/male/women/female] golfer	0.8040944881889763	6350
[men/male/women/female] operator	0.728702229299363	5024
[men/male/women/female] inspector	0.9324444444444444	1125
[men/male/women/female] instructor	0.9140893470790378	582
[men/male/women/female] social scientist	0.8072390572390572	1188
[men/male/women/female] orator	0.8188073394495413	1744
[men/male/women/female] coder	0.8203592814371258	334
[men/male/women/female] social worker	0.7057513163223977	4938
[men/male/women/female] sociologist	0.6815754339118825	2996
[men/male/women/female] investigator	0.8022598870056498	708
[men/male/women/female] governor	0.9118039346448816	5998
[men/male/women/female] organist	0.8609958506224067	482
[men/male/women/female] organizer	0.7827288428324698	2895
[men/male/women/female] software engineer	0.6032608695652174	184
[men/male/women/female] soldier	0.7271985207149878	60029
[men/male/women/female] solicitor	0.8250910983862572	1921
[men/male/women/female] collector	0.6991461577096936	1991
