('Women artists', 'Male artists')
('Women authors', 'Male authors')
('Women caregivers', 'Male caregivers')
('Women college students', 'Male college students')
('Women comedians', 'Male comedians')
('Women cooks', 'Male cooks')
('Women dancers', 'Male dancers')
('Women dramatists', 'Male dramatists')
('Women employees', 'Male employees')
('Female impersonators', 'Male impersonators')
('Women lawyers', 'Male lawyers')
('Women musicians', 'Male musicians')
('Women nurses', 'Male nurses')
('Women preschool teachers', 'Male preschool teachers')
('Women singers', 'Male singers')
('Women social workers', 'Male social workers')
('Women teachers', 'Male teachers')
('Women weavers', 'Male weavers')
