Concept	PROP_M	TOTAL_GEN_FREQ
[men/male/women/female] [men/male/women/female] [men/male/women/female]	0.28049559330693574	15658
[men/male/women/female] abandonment	0.286783042394015	401
[men/male/women/female] abdominal	0.3280757097791798	317
[men/male/women/female] abraham	0.0350609756097561	1312
[men/male/women/female] absence	0.37721518987341773	1185
[men/male/women/female] absenteeism	0.3082706766917293	399
[men/male/women/female] abuse	0.37471455262611586	4817
[men/male/women/female] abuser	0.37319277108433735	3320
[men/male/women/female] accessory	0.39880444064901793	1171
[men/male/women/female] accessory gland	0.061973728528123946	2969
[men/male/women/female] accessory sex	0.131477184841454	1293
[men/male/women/female] accident	0.3730769230769231	260
[men/male/women/female] accountability	0.35384615384615387	195
[men/male/women/female] actor	0.38746300780199083	37170
[men/male/women/female] adam	0.37547892720306514	1044
[men/male/women/female] adaptation	0.3888888888888889	900
[men/male/women/female] admiration	0.3023770038695412	1809
[men/male/women/female] adolescent sex	0.3268608414239482	309
[men/male/women/female] adult member	0.3024390243902439	205
[men/male/women/female] adult population	0.2985842985842986	777
[men/male/women/female] adult rat	0.38626609442060084	466
[men/male/women/female] adulthood	0.3171965317919075	1384
[men/male/women/female] advance	0.20546505517603783	1903
[men/male/women/female] adventure	0.30612244897959184	1519
[men/male/women/female] advertisement	0.17383512544802868	558
[men/male/women/female] affine	0.3736559139784946	372
[men/male/women/female] affirmation	0.22304832713754646	269
[men/male/women/female] african lion	0.3815789473684211	304
[men/male/women/female] against sexual	0.36042402826855124	283
[men/male/women/female] aggregation	0.31065759637188206	441
[men/male/women/female] aggression	0.2803284103241636	21193
[men/male/women/female] aggressive behavior	0.22832369942196531	346
[men/male/women/female] aggressiveness	0.17938718662952646	1795
[men/male/women/female] aggressor	0.26097867001254704	1594
[men/male/women/female] agnate	0.165086887835703	1266
[men/male/women/female] aid patient	0.328125	192
[men/male/women/female] aim	0.3202614379084967	153
[men/male/women/female] akita	0.38317757009345793	107
[men/male/women/female] alan	0.29375	160
[men/male/women/female] albino	0.2331399564902103	2758
[men/male/women/female] albino rat	0.2325268817204301	2232
[men/male/women/female] alcohol abuse	0.3058252427184466	206
[men/male/women/female] alcoholic patient	0.2508710801393728	574
[men/male/women/female] alexander	0.2697841726618705	278
[men/male/women/female] alias	0.31555555555555553	225
[men/male/women/female] allen	0.27595628415300544	366
[men/male/women/female] ally	0.2462880037709168	4243
[men/male/women/female] alto	0.2680301399354144	929
[men/male/women/female] ambivalence	0.18441558441558442	385
[men/male/women/female] america	0.22657743785850862	1046
[men/male/women/female] american citizen	0.2575107296137339	233
[men/male/women/female] american writer	0.3973509933774834	151
[men/male/women/female] amerindian	0.3103448275862069	145
[men/male/women/female] amphibian	0.3979591836734694	392
[men/male/women/female] amusement	0.15213946117274169	631
[men/male/women/female] and	0.27473684210526317	950
[men/male/women/female] and action	0.14922480620155038	516
[men/male/women/female] and activity	0.3829787234042553	188
[men/male/women/female] and affair	0.03360655737704918	2440
[men/male/women/female] and ally	0.34146341463414637	287
[men/male/women/female] and america	0.3933649289099526	211
[men/male/women/female] and angel	0.02015422362425517	11412
[men/male/women/female] and animal	0.10827450526559426	43205
[men/male/women/female] and ape	0.05820721769499418	859
[men/male/women/female] and apprentice	0.1801566579634465	383
[men/male/women/female] and arm	0.008651399491094147	5895
[men/male/women/female] and artisan	0.33687943262411346	282
[men/male/women/female] and attack	0.1875	320
[men/male/women/female] and bachelor	0.22707423580786026	229
[men/male/women/female] and baggage	0.1895424836601307	612
[men/male/women/female] and battle	0.14492753623188406	345
[men/male/women/female] and bear	0.13071895424836602	306
[men/male/women/female] and beast	0.025064140517071246	20268
[men/male/women/female] and beggar	0.2652439024390244	328
[men/male/women/female] and bind	0.22857142857142856	175
[men/male/women/female] and bird	0.20590207914151576	1491
[men/male/women/female] and bisexual	0.07422680412371134	970
[men/male/women/female] and boat	0.06204819277108434	1660
[men/male/women/female] and book	0.24180100055586437	3598
[men/male/women/female] and boy	0.06542383296772396	139949
[men/male/women/female] and brother	0.004160396565459856	11297
[men/male/women/female] and building	0.3310810810810811	444
[men/male/women/female] and bull	0.19583333333333333	240
[men/male/women/female] and businessmen	0.21341463414634146	328
[men/male/women/female] and camel	0.03608247422680412	1358
[men/male/women/female] and cattle	0.13456850316918575	6153
[men/male/women/female] and character	0.2748091603053435	262
[men/male/women/female] and christ	0.37155963302752293	218
[men/male/women/female] and circumstance	0.05673076923076923	1040
[men/male/women/female] and citizen	0.0752711496746204	4610
[men/male/women/female] and city	0.16596989966555184	2392
[men/male/women/female] and civilian	0.26307922272047835	1338
[men/male/women/female] and civilization	0.3448275862068966	261
[men/male/women/female] and clerk	0.3693379790940767	287
[men/male/women/female] and commodity	0.3791469194312796	211
[men/male/women/female] and company	0.1934826883910387	491
[men/male/women/female] and condition	0.22391857506361323	393
[men/male/women/female] and conduct	0.2721518987341772	158
[men/male/women/female] and corps	0.2621359223300971	206
[men/male/women/female] and country	0.23941958887545345	827
[men/male/women/female] and courtier	0.38961038961038963	154
[men/male/women/female] and coward	0.24705882352941178	340
[men/male/women/female] and creation	0.3381294964028777	139
[men/male/women/female] and creature	0.09736842105263158	1140
[men/male/women/female] and cripple	0.2756183745583039	283
[men/male/women/female] and custom	0.3598130841121495	214
[men/male/women/female] and damsel	0.3902439024390244	164
[men/male/women/female] and date	0.39285714285714285	140
[men/male/women/female] and david	0.3244274809160305	262
[men/male/women/female] and day	0.18446601941747573	412
[men/male/women/female] and dean	0.3333333333333333	186
[men/male/women/female] and decision	0.3808630393996248	533
[men/male/women/female] and deed	0.11206896551724138	580
[men/male/women/female] and demon	0.0931712962962963	1728
[men/male/women/female] and detective	0.38562091503267976	153
[men/male/women/female] and devil	0.028840820854132	1803
[men/male/women/female] and disadvantage	0.1524390243902439	328
[men/male/women/female] and dog	0.10555718906204058	10203
[men/male/women/female] and donkey	0.375968992248062	516
[men/male/women/female] and dozen	0.24382716049382716	324
[men/male/women/female] and dragon	0.05844980940279543	787
[men/male/women/female] and dress	0.36074766355140186	535
[men/male/women/female] and driver	0.2198952879581152	191
[men/male/women/female] and dwarf	0.08309990662931839	1071
[men/male/women/female] and elephant	0.1167381974248927	1165
[men/male/women/female] and empire	0.3870967741935484	1271
[men/male/women/female] and enemy	0.3157894736842105	266
[men/male/women/female] and engineer	0.1724137931034483	319
