Concept	PROP_W	TOTAL_GEN_FREQ
[men/male/women/female] [men/male/women/female] total	0.7468354430379747	158
[men/male/women/female] abductees	0.8186274509803921	408
[men/male/women/female] ability	0.6327963651383726	2421
[men/male/women/female] abjection	0.7761194029850746	402
[men/male/women/female] abolitionist	0.7976639035418237	5308
[men/male/women/female] aboriginal	0.6081730769230769	416
[men/male/women/female] abortion	0.9048751486325802	841
[men/male/women/female] abortionist	0.8007518796992481	266
[men/male/women/female] abstract	0.7890625	384
[men/male/women/female] abundance	0.630272952853598	403
[men/male/women/female] academic	0.8074939617468503	15319
[men/male/women/female] academic staff	0.8253275109170306	458
[men/male/women/female] academician	0.7912280701754386	570
[men/male/women/female] academy	0.8357757969481795	13238
[men/male/women/female] accent	0.7534722222222222	288
[men/male/women/female] access	0.8038590094196293	13164
[men/male/women/female] accession	0.7756653992395437	263
[men/male/women/female] accommodation	0.7401574803149606	381
[men/male/women/female] accomplice	0.6513086740211984	4623
[men/male/women/female] accomplishment	0.8696470588235294	2125
[men/male/women/female] according	0.7619848612279226	1189
[men/male/women/female] accountant	0.7448621553884712	1995
[men/male/women/female] accounting	0.6825938566552902	293
[men/male/women/female] accoutrement	0.7215189873417721	395
[men/male/women/female] acculturation	0.8435374149659864	294
[men/male/women/female] accused	0.6011994002998501	667
[men/male/women/female] accuser	0.7870813397129187	836
[men/male/women/female] achiever	0.8091503267973856	765
[men/male/women/female] aci	0.7256637168141593	226
[men/male/women/female] acne	0.8458904109589042	292
[men/male/women/female] acolyte	0.6562795089707271	1059
[men/male/women/female] acquiescence	0.8458646616541353	266
[men/male/women/female] acrobat	0.8127812781278128	1111
[men/male/women/female] act	0.8406980016887138	35530
[men/male/women/female] acting	0.6548347613219094	817
[men/male/women/female] action hero	0.7605354486861676	2017
[men/male/women/female] active	0.7327586206896551	464
[men/male/women/female] active duty	0.7058823529411765	170
[men/male/women/female] activism	0.967714528462192	3531
[men/male/women/female] activist	0.9327418814864412	59740
[men/male/women/female] activity rate	0.8242092457420924	1644
[men/male/women/female] actress	0.9820836098208361	3014
[men/male/women/female] addict	0.7604053564965617	2763
[men/male/women/female] addiction	0.7901234567901234	324
[men/male/women/female] adept	0.6812227074235808	687
[men/male/women/female] adherent	0.7139917695473251	1458
[men/male/women/female] adjustment	0.6459627329192547	161
[men/male/women/female] administrator	0.734558639659915	7998
